nombre,kcal_100,prot_100,carb_100,grasa_100
Pechuga de pollo,165,31,0,3.6
Arroz blanco cocido,130,2.7,28,0.3
Avena,389,16.9,66.3,6.9
Huevo (entero),155,13,1.1,11
Leche entera,61,3.2,4.8,3.3
Pan blanco,265,9,49,3.2
Pasta cocida,157,5.8,30.9,0.9
Aceite de oliva,884,0,0,100
Manzana,52,0.3,14,0.2
Banana,89,1.1,23,0.3
Yogur natural,61,3.5,4.7,3.3
Yogur griego (descremado),59,10.0,3.6,0.4
Batata cocida,90,2.0,21.0,0.1
Salmón,208,20.0,0.0,13.0
Atún en lata (agua),132,29.0,0.0,1.0
Lentejas cocidas,116,9.0,20.0,0.4
Garbanzos cocidos,164,8.9,27.4,2.6
Mantequilla de maní,588,25.0,20.0,50.0
Proteína whey,370,90.0,5.0,2.0
Brócoli,34,2.8,7.0,0.4
Espinaca,23,2.9,3.6,0.4
Quinoa cocida,120,4.4,21.3,1.9
Requesón (cottage) 2%,82,11.0,3.4,2.3
Almendras,579,21.0,22.0,50.0
Arroz integral cocido,111,2.6,23.0,0.9
Palta (aguacate),160,2.0,9.0,15.0
Tostada integral,300.0,13.0,50.0,5.0
